Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (5YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (5YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"LGA (UR)",
"Alpine (S)",8479,0,16,20,14,9,33,16,24,11,0,8,21,27,3,6,10,24,30,22,0,22,6,15,20,3,41,20,8,0,9,5,33,20,36,20,10,0,12,5,5,11,33,12,9,7,9,12,14,20,7,23,55,5,0,12,5,3,29,0,0,8,7,13,8,11,7,36,81,11,9,5,44,4,82,37,17,44,0,7,39,4,0,25,9829,
"Ararat (RC)",0,7917,95,9,4,3,0,0,11,18,10,0,18,27,22,9,8,6,6,16,5,4,16,15,17,18,56,9,13,4,17,23,10,9,18,8,10,0,4,0,0,0,11,7,21,10,4,4,13,5,13,7,25,6,12,9,5,135,7,52,0,0,29,5,0,3,8,0,0,21,0,4,13,0,4,44,9,13,13,0,0,4,0,16,8973,
"Ballarat (C)",28,371,69839,119,47,52,75,20,189,167,67,100,54,139,296,91,159,225,83,112,28,112,159,1253,240,57,545,66,848,70,127,303,116,27,112,118,79,30,124,63,12,159,107,179,296,154,45,38,148,154,925,222,140,72,108,26,47,282,105,480,7,28,177,102,22,74,56,7,32,175,57,25,137,93,43,314,127,127,122,58,7,27,0,332,82587,
"Banyule (C)",9,6,67,81530,42,43,78,15,1120,190,5,44,57,109,8,11,11,2829,36,93,7,206,13,6,121,86,133,72,22,6,111,13,325,13,104,169,28,0,52,1184,4,167,208,560,113,15,109,26,294,267,15,828,108,9,7,54,2291,7,307,5,3,32,6,297,13,28,16,3,32,28,46,0,540,2115,61,166,810,194,8,197,3,16,0,131,99137,
"Bass Coast (S)",16,0,21,75,21140,187,69,9,110,33,6,27,463,527,3,0,3,53,64,266,8,85,10,6,40,99,32,29,12,0,32,25,39,9,198,309,182,0,26,83,10,37,188,50,38,5,21,14,172,34,13,66,267,12,6,27,56,0,81,4,0,624,10,47,5,11,11,3,12,0,74,0,176,36,6,85,42,423,5,35,4,9,0,95,27105,
"Baw Baw (S)",3,11,40,44,131,32689,23,5,81,4,0,16,1599,1172,6,9,6,47,161,269,8,67,5,12,47,157,37,29,5,5,23,11,18,0,136,245,1067,7,11,52,5,17,68,34,22,19,17,25,174,17,6,31,254,3,9,19,17,3,40,0,0,260,3,50,0,7,14,6,11,6,163,0,98,27,14,68,21,219,0,30,0,17,0,125,40173,
"Bayside (C)",4,0,42,104,35,23,63527,10,525,63,4,7,70,262,0,9,0,124,28,247,0,2883,4,0,65,169,82,29,12,0,142,0,58,6,2484,167,33,3,37,158,7,170,81,411,46,11,3,0,623,111,6,182,398,17,0,5,44,0,2557,5,5,17,6,912,13,23,6,0,3,20,9,0,227,36,11,122,331,88,3,113,4,3,0,116,78183,
"Benalla (RC)",14,5,11,23,5,17,7,9835,18,13,4,22,33,47,7,0,0,30,13,36,3,17,7,5,32,5,27,75,0,4,12,6,27,17,16,42,12,3,7,0,45,14,33,17,13,3,41,58,19,7,3,37,52,4,0,16,8,0,0,0,0,3,6,11,107,0,4,5,152,4,6,0,20,23,27,24,11,85,4,5,0,7,0,34,11374,
"Boroondara (C)",38,13,169,828,126,118,293,11,103597,235,14,93,143,461,13,30,31,874,70,146,11,759,21,7,187,212,331,145,17,5,223,22,116,46,303,566,163,13,82,2241,32,362,490,1497,126,71,51,36,1768,366,37,664,308,36,19,22,303,19,855,4,16,83,35,2501,9,62,19,13,62,78,105,0,3403,345,65,341,2253,422,12,195,0,10,0,151,130034,
