Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (5YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (5YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"Brimbank (C)",5,8,57,131,18,12,33,10,165,132513,0,18,46,224,6,9,4,403,21,61,3,126,12,11,79,394,227,69,29,6,749,3,903,8,122,80,33,3,128,106,8,3372,56,442,2777,59,44,25,168,1731,82,812,48,20,5,4,25,10,176,12,0,12,5,121,6,13,26,0,22,19,25,5,165,399,16,1058,391,27,4,141,0,21,0,219,149408,
"Buloke (S)",0,3,24,4,3,0,0,4,5,11,4507,7,8,23,15,5,6,9,0,16,5,0,5,7,57,0,32,9,10,0,5,15,10,0,3,0,0,18,4,0,0,0,7,8,9,22,6,4,5,5,4,9,11,0,0,3,4,30,0,3,0,0,3,0,0,0,44,0,0,0,11,0,3,15,4,18,0,12,34,0,0,0,0,14,5095,
"Campaspe (S)",7,6,80,49,14,42,16,20,27,46,10,26455,57,97,3,18,33,54,25,94,84,19,8,14,313,26,76,416,18,3,28,19,119,3,29,72,18,30,71,16,0,23,45,23,46,52,89,116,41,34,43,56,76,14,14,26,21,11,14,4,0,30,13,9,34,16,51,18,10,22,32,0,40,82,20,86,16,71,8,10,0,7,0,41,29891,
"Cardinia (S)",12,6,43,55,183,693,81,7,149,89,5,41,54505,9709,4,7,9,78,127,713,13,283,8,4,32,1440,68,40,3,7,49,9,52,10,442,1612,341,10,22,116,13,42,453,57,112,24,43,14,712,55,7,96,402,0,13,11,33,18,100,0,0,232,6,159,4,0,15,0,24,18,71,0,332,90,19,145,61,1221,5,274,0,17,0,143,76138,
"Casey (C)",8,18,81,174,295,311,315,30,490,297,0,31,3110,192665,16,12,8,240,123,5053,17,1101,18,19,105,11006,213,201,13,5,117,16,205,11,2362,3468,376,8,35,317,15,124,794,194,170,83,28,51,4037,113,18,222,1385,27,11,27,48,9,288,3,0,204,19,536,11,21,50,3,32,32,112,0,1286,226,60,394,133,1079,10,472,0,30,0,338,235606,
"Central Goldfields (S)",0,18,118,20,10,10,4,0,3,28,15,20,22,72,9244,3,7,13,6,36,9,7,7,16,135,26,55,4,50,4,26,3,33,6,19,17,8,47,27,8,0,19,14,16,50,15,11,12,5,5,20,20,34,104,4,11,3,28,9,88,0,4,0,3,0,7,8,0,5,6,4,0,9,21,7,55,0,38,9,6,0,8,0,52,10883,
"Colac-Otway (S)",4,11,54,19,7,9,13,3,29,30,4,15,6,9,6,15477,182,25,14,11,0,20,27,30,23,11,320,9,5,4,44,3,14,3,18,17,14,0,3,19,3,28,16,19,16,19,8,4,15,37,9,40,13,3,19,0,21,4,27,5,0,0,8,16,4,152,16,5,12,42,9,0,25,8,0,54,29,23,11,4,0,4,0,47,17286,
"Corangamite (S)",0,9,90,12,9,13,4,4,18,15,6,5,17,15,6,133,11784,14,0,18,3,7,11,32,15,11,137,12,5,7,13,9,21,0,13,12,17,0,14,0,6,16,0,16,12,5,7,7,6,9,10,12,17,3,204,10,0,3,14,9,0,13,17,4,0,20,4,0,0,150,5,0,8,10,11,38,6,15,6,3,0,5,0,65,13242,
"Darebin (C)",21,8,182,2141,42,50,124,31,1101,298,18,52,57,178,10,30,42,85642,67,115,17,317,29,19,180,113,280,162,49,12,200,22,553,26,155,180,79,0,105,607,11,356,225,1112,102,46,116,42,298,457,29,2948,161,69,44,43,511,12,561,13,13,57,28,514,17,63,21,3,71,82,68,0,508,2048,87,184,3113,261,8,275,12,50,0,223,108192,
"East Gippsland (S)",30,4,30,46,75,108,40,12,51,35,4,24,199,270,7,12,4,42,31651,153,5,43,10,13,64,67,82,40,12,3,46,5,47,13,108,159,314,0,28,28,15,22,109,29,23,9,19,22,102,15,15,39,274,19,14,32,38,16,41,5,5,53,3,34,17,18,10,3,52,9,395,0,56,49,23,56,33,245,3,23,0,31,0,102,35952,
"Frankston (C)",18,14,61,116,115,103,580,25,265,89,4,49,395,2653,11,15,3,152,66,88330,6,781,12,11,72,1125,103,48,24,4,63,15,87,12,4296,737,137,13,29,191,9,76,309,129,71,31,23,35,772,77,13,144,3832,24,8,27,54,11,336,6,0,67,4,199,8,8,25,8,24,34,66,0,366,126,25,156,126,429,9,197,4,39,0,215,108975,
"Gannawarra (S)",0,0,32,11,3,20,0,12,7,19,12,59,10,29,0,8,3,12,4,21,7707,6,0,12,85,0,28,18,21,0,5,3,23,0,10,11,11,35,23,0,0,3,6,9,10,21,12,9,4,11,11,12,18,4,0,0,0,3,5,0,0,11,10,3,6,0,70,7,8,0,7,0,10,25,8,13,0,27,7,0,0,7,0,34,8658,
"Glen Eira (C)",7,6,97,159,46,60,2165,19,1024,173,0,24,134,570,3,9,7,268,43,359,10,86008,11,4,65,496,190,64,4,0,166,13,73,18,1768,410,60,4,23,189,10,241,116,846,76,38,28,15,2278,236,20,267,255,9,10,21,61,3,3228,0,7,44,9,2699,10,26,10,0,21,27,30,0,466,90,18,280,452,149,0,151,3,14,0,194,107226,
"Glenelg (S)",0,8,60,5,8,18,0,0,13,22,5,10,10,40,6,19,34,7,9,20,0,3,14455,0,27,5,121,19,3,11,20,40,15,0,13,30,0,5,12,10,4,8,22,14,33,30,0,9,10,11,5,12,21,12,47,0,3,22,5,0,0,8,133,6,6,11,10,8,0,57,10,19,16,6,7,40,14,47,16,9,0,8,0,35,15829,
"Golden Plains (S)",8,18,1055,23,5,0,13,11,14,32,0,8,21,41,16,39,30,22,16,16,0,6,7,13598,26,4,2100,7,40,0,45,18,23,0,22,28,4,0,14,6,0,20,13,11,78,8,12,3,6,13,81,18,25,6,12,8,4,18,10,22,0,0,14,7,0,110,8,0,6,10,3,4,19,29,6,272,4,29,6,4,0,3,0,27,18272,
"Greater Bendigo (C)",35,54,233,151,41,47,56,79,133,173,139,719,77,223,193,36,14,193,38,116,268,100,16,30,78457,88,289,417,61,24,88,127,219,33,136,127,64,481,394,81,31,113,107,109,164,278,241,187,160,117,58,231,134,684,20,49,74,130,96,17,0,57,38,81,55,30,346,8,90,55,59,0,129,139,63,267,95,210,36,48,0,34,0,240,89357,
"Greater Dandenong (C)",0,10,29,68,24,52,215,0,258,263,3,6,238,3316,3,12,11,147,19,499,0,809,0,0,38,94072,66,119,4,0,58,10,148,7,2564,665,68,0,9,121,3,162,160,170,89,36,12,8,2922,89,8,148,139,4,6,10,9,3,158,3,0,16,0,268,10,4,34,0,3,16,45,5,487,126,15,160,117,119,0,154,0,38,0,197,109891,
"Greater Geelong (C)",73,115,927,346,71,56,173,88,496,493,76,200,102,249,101,675,259,498,155,187,41,255,214,1133,643,122,165426,375,91,47,664,235,368,45,246,217,140,44,261,209,65,448,231,454,464,154,170,110,317,526,289,550,255,99,155,66,203,99,437,31,363,58,229,371,43,2065,122,14,103,428,112,35,331,305,113,1918,334,322,66,111,27,56,0,500,189255,
"Greater Shepparton (C)",20,8,79,48,20,25,11,96,60,61,9,524,47,79,19,14,19,85,32,66,44,30,7,0,192,65,85,45106,8,0,25,8,79,13,29,78,42,9,34,15,15,44,36,65,54,74,99,660,53,39,16,77,68,10,14,23,25,18,20,3,0,6,10,14,201,13,65,3,46,15,12,0,45,90,61,49,26,88,11,36,0,17,0,179,49593,
"Hepburn (S)",5,14,498,37,7,3,43,3,61,55,0,11,8,29,39,0,3,83,7,18,4,54,4,34,39,8,61,7,9799,9,59,6,27,0,38,27,0,4,115,19,9,62,21,65,59,3,4,4,43,54,100,63,33,49,4,0,14,5,116,21,0,4,11,66,0,8,5,0,0,21,0,0,30,16,10,93,76,48,0,10,0,7,0,38,12416,
"Hindmarsh (S)",4,4,18,4,0,8,0,0,3,0,10,7,9,11,8,0,0,4,3,5,0,0,9,4,11,4,27,5,0,4150,3,106,4,0,4,4,4,0,11,0,0,0,7,4,9,10,0,0,8,6,4,5,16,3,0,0,0,10,0,0,0,0,16,0,0,0,7,0,0,6,0,43,4,0,0,60,0,14,25,8,0,0,0,30,4737,
"Hobsons Bay (C)",5,0,120,132,17,22,97,12,274,726,0,30,38,104,0,10,9,224,24,79,6,241,10,18,65,83,274,55,12,0,57452,13,198,7,116,81,28,0,52,85,5,1727,60,592,390,27,28,7,163,512,84,343,60,10,12,7,62,9,775,3,4,16,9,292,3,41,25,4,26,20,30,0,135,151,17,2283,288,54,0,86,0,13,0,115,69216,
"Horsham (RC)",3,15,104,18,6,13,0,0,16,17,43,8,20,16,13,0,0,12,0,23,0,7,31,6,36,8,66,21,17,211,10,14533,16,0,17,18,11,0,8,8,3,4,28,16,12,51,0,0,17,20,13,24,4,6,11,0,10,76,13,10,0,5,53,6,0,0,35,0,6,35,12,103,20,9,0,54,6,22,260,7,0,4,0,37,16336,
"Hume (C)",23,6,104,402,25,28,47,19,147,1634,6,55,45,318,17,16,13,1292,21,95,7,121,27,11,168,304,162,229,27,7,213,21,131339,7,140,121,33,6,976,120,6,386,101,377,950,92,534,72,185,1873,86,5365,62,53,12,13,91,13,166,0,0,15,5,107,29,7,21,4,20,31,22,6,163,1899,27,543,189,69,9,266,0,17,0,211,152465,
"Indigo (S)",83,4,11,31,0,20,19,14,15,13,0,19,4,20,0,6,0,31,12,23,0,21,0,14,12,5,24,24,4,0,16,0,11,10823,21,31,5,0,6,4,10,16,12,10,7,4,12,19,12,9,11,36,36,0,0,13,19,5,11,0,4,0,5,13,7,3,11,53,157,5,3,0,16,24,506,28,20,37,0,9,4,9,0,23,12536,
"Kingston (C)",8,6,71,161,75,52,3453,16,503,149,0,20,248,1253,19,14,3,216,50,1968,4,3459,6,12,83,1713,122,43,14,4,112,16,121,7,98750,544,65,0,18,167,11,128,212,365,109,35,42,14,2295,129,13,234,703,10,0,9,43,7,1215,0,0,48,7,731,3,14,9,0,15,21,44,0,505,114,26,209,222,222,0,170,0,24,0,194,121686,
"Knox (C)",5,10,53,183,51,74,109,10,585,168,3,24,411,1298,10,16,5,177,32,274,12,477,10,0,72,731,93,50,6,3,60,7,81,3,394,108655,78,0,24,651,19,77,2444,239,81,27,24,23,4079,90,6,175,161,9,6,19,62,9,175,3,5,19,13,318,12,22,12,7,20,33,46,10,3153,189,25,181,116,2530,6,226,0,9,0,194,129755,
"Latrobe (C)",5,8,33,48,133,786,25,15,62,38,6,21,313,446,8,5,14,46,239,182,8,35,22,5,53,184,79,35,3,9,36,5,41,4,65,124,54176,6,18,33,7,32,53,45,59,16,22,23,106,30,11,51,141,11,3,5,12,4,30,4,0,219,9,41,4,5,22,0,13,3,730,0,45,41,26,65,24,109,15,36,0,20,0,171,59651,
"Loddon (S)",3,0,8,0,0,0,0,4,0,20,16,29,13,22,21,0,5,14,0,22,31,0,0,0,265,4,0,17,0,0,7,8,28,0,4,13,0,5177,7,14,0,4,4,5,23,13,12,7,7,7,18,5,17,20,0,0,5,15,0,10,0,0,0,3,6,5,9,0,4,3,3,0,3,4,0,5,0,31,9,7,0,4,0,25,6032,
"Macedon Ranges (S)",13,3,43,128,10,5,79,12,150,308,5,27,20,41,5,16,4,205,9,33,5,91,7,0,195,6,96,21,130,0,208,13,1115,14,34,45,5,5,31378,48,13,238,54,171,563,26,135,17,47,445,77,408,85,118,10,21,58,4,142,6,0,16,7,103,13,9,0,0,12,13,14,0,123,98,4,327,189,50,4,51,0,12,0,41,38257,
"Manningham (C)",0,3,35,948,27,16,56,3,2106,197,0,19,26,178,7,0,8,641,33,58,7,200,0,5,25,92,58,48,0,3,85,6,136,13,160,444,30,0,15,80284,12,163,1236,669,80,12,16,6,629,170,13,318,106,7,0,19,587,0,207,0,4,23,9,211,0,3,17,0,14,19,19,0,2747,494,20,242,280,480,0,120,4,9,0,100,95035,
"Mansfield (S)",6,5,11,32,9,5,20,47,43,9,0,13,28,34,0,0,3,18,13,23,0,26,0,4,8,13,38,31,5,0,24,4,20,12,36,60,0,0,12,31,5550,7,65,26,6,5,5,7,29,13,0,12,45,4,6,49,22,0,18,0,0,5,3,51,19,8,0,0,20,0,3,0,46,32,0,14,15,105,0,3,6,0,0,20,6887,
"Maribyrnong (C)",5,3,150,146,24,33,83,18,350,1857,12,28,46,144,9,14,9,398,68,79,14,237,22,10,88,119,348,65,30,8,1135,12,302,17,111,85,61,5,97,113,17,42576,68,1462,376,43,40,35,226,1236,65,792,89,22,13,6,71,7,752,3,4,21,13,436,18,57,32,0,32,28,47,0,184,190,42,835,719,86,8,107,4,27,0,127,57249,
"Maroondah (C)",3,8,79,255,57,31,64,12,896,93,5,16,151,340,4,7,9,224,41,171,7,232,6,0,53,188,90,26,4,0,77,3,60,6,166,2548,40,0,18,2203,17,80,71357,196,48,28,43,19,762,109,10,171,139,13,10,62,269,6,166,4,0,19,4,248,15,10,11,6,26,12,28,0,3688,136,19,133,220,4219,0,182,5,10,0,136,90834,
"Melbourne (C)",31,24,296,512,72,102,402,33,1610,589,16,60,72,427,15,42,26,762,63,168,12,704,23,31,273,211,682,161,28,7,403,31,358,34,364,323,129,15,183,608,26,658,258,35226,226,84,94,43,1012,1206,51,1297,332,47,34,20,209,14,1534,4,20,44,46,1282,16,92,23,9,62,71,76,5,744,287,57,586,1536,231,10,225,5,22,0,219,57967,
"Melton (C)",0,23,191,141,17,16,29,9,82,9812,8,33,78,206,20,6,11,240,34,109,15,89,26,29,146,227,225,102,24,17,497,4,1299,3,77,78,68,9,247,95,4,774,97,234,83909,86,86,38,143,887,669,668,74,30,13,4,42,10,125,21,6,20,14,67,0,13,38,0,16,22,22,0,108,380,41,1976,95,92,4,132,0,26,0,175,105526,
"Mildura (RC)",9,4,74,28,14,23,6,9,20,41,50,30,38,75,11,8,4,34,25,63,16,25,18,18,140,28,87,39,12,24,23,51,48,0,31,48,24,15,24,12,4,24,25,26,27,37753,25,13,36,42,13,42,39,13,13,3,10,14,23,10,0,4,35,14,3,13,317,9,8,11,14,3,26,48,13,62,19,63,63,19,0,29,0,327,40498,
"Mitchell (S)",7,6,32,294,6,15,13,14,50,148,0,46,67,88,0,12,0,315,24,46,4,35,9,5,106,32,59,87,6,0,56,4,1548,4,57,69,16,15,222,63,5,38,47,28,155,16,25044,45,43,116,27,388,77,9,6,95,175,3,47,0,0,10,9,23,150,13,6,4,13,8,12,0,62,1319,39,152,31,111,3,33,0,4,0,45,32036,
"Moira (S)",27,3,27,41,17,19,10,68,14,45,5,103,64,137,3,14,19,34,19,59,16,18,12,18,59,30,70,424,0,0,29,5,97,24,35,63,16,13,30,18,7,7,40,15,66,13,62,20044,30,33,29,24,53,9,9,20,12,9,18,4,0,39,5,13,36,10,21,11,100,9,14,0,22,64,55,105,12,96,8,13,0,10,0,52,22885,
"Monash (C)",22,9,120,223,95,111,292,22,1642,303,9,38,227,1825,14,21,10,337,80,353,3,2342,16,10,121,2040,250,94,12,3,162,21,125,15,1430,2017,180,3,35,444,12,215,336,793,176,58,27,25,109100,143,14,322,210,10,13,15,54,24,581,7,3,72,34,1476,10,30,37,7,34,53,117,0,2195,220,59,479,255,318,4,223,0,7,0,179,133036,
"Moonee Valley (C)",19,6,161,209,23,15,107,12,367,1802,8,43,28,112,3,16,12,559,17,65,11,180,19,6,158,71,231,95,23,3,288,12,1664,20,102,92,45,7,318,159,9,1439,79,1636,743,50,105,37,245,74227,58,2996,102,35,11,12,79,6,457,10,8,11,14,270,12,66,26,0,43,26,35,0,204,316,41,490,530,76,13,116,0,25,0,142,91898,
"Moorabool (S)",0,10,473,44,10,10,16,0,48,408,0,10,23,51,21,14,14,56,7,20,9,42,13,62,42,21,196,15,65,4,196,11,149,0,48,30,16,7,99,11,9,109,27,40,1323,8,19,8,18,106,20935,74,28,18,16,0,21,13,63,14,3,12,9,26,0,19,4,0,9,18,0,0,33,36,5,1093,21,48,7,21,0,10,0,48,26553,
"Moreland (C)",22,13,213,739,62,50,143,31,801,749,7,58,66,198,12,45,25,2453,59,112,21,395,29,25,262,152,394,128,46,3,265,32,2572,29,169,220,87,9,209,337,8,617,163,2243,363,87,145,37,395,2625,52,93097,173,83,37,25,276,12,741,0,3,40,14,571,21,50,20,8,64,67,59,0,408,881,52,329,2292,198,14,241,5,26,0,236,118015,
"Mornington Peninsula (S)",28,21,80,372,169,121,956,29,854,103,9,53,407,1425,23,20,26,262,127,4349,17,583,17,17,132,320,160,63,17,9,138,13,173,19,1428,836,111,3,76,577,56,127,556,272,108,28,84,45,834,206,20,242,107451,41,20,65,248,9,642,12,0,140,16,646,34,30,16,5,18,23,80,0,837,234,49,134,330,747,9,140,11,25,0,158,128861,
"Mount Alexander (S)",10,3,53,63,4,7,22,5,52,30,5,6,17,27,24,9,4,188,15,27,5,53,0,7,268,7,37,12,92,0,42,0,36,5,37,28,23,15,204,20,0,59,35,54,22,9,21,0,20,42,17,169,33,12295,7,11,46,6,67,7,0,7,0,28,4,6,22,0,4,4,9,0,50,23,0,26,107,49,0,11,0,0,0,16,14765,
"Moyne (S)",0,19,46,15,0,8,11,3,11,12,0,9,15,22,3,32,232,24,7,8,10,13,69,22,41,3,93,14,18,3,16,25,7,3,7,14,6,4,7,12,0,11,17,10,4,20,4,13,17,9,9,24,19,7,11284,5,6,20,8,7,9,3,135,13,3,19,3,0,3,897,4,10,14,11,4,22,26,20,7,8,0,11,0,43,13588,
"Murrindindi (S)",6,0,18,97,22,8,14,11,28,15,7,13,47,39,6,5,0,41,16,29,6,13,0,0,16,6,20,18,5,0,17,0,39,13,24,118,5,0,11,55,16,13,121,29,21,5,66,13,26,17,4,43,46,0,0,9108,133,0,7,0,4,8,0,18,19,7,3,0,13,3,9,0,54,189,0,21,17,496,0,16,0,8,0,19,11356,
"Nillumbik (S)",3,0,19,2628,20,0,35,5,344,43,0,15,30,38,4,3,4,619,6,32,0,60,0,0,31,17,46,11,4,0,66,0,142,4,37,91,11,3,21,775,4,72,287,134,43,7,57,6,84,103,17,311,30,4,0,55,44358,0,117,0,0,6,0,90,3,11,0,0,4,8,7,0,306,1102,9,89,208,198,0,69,0,6,0,49,53048,
"Northern Grampians (S)",0,124,56,18,3,0,4,0,11,11,24,4,19,49,15,13,11,6,9,20,3,3,18,4,32,3,61,22,5,11,17,75,14,0,9,25,15,7,9,15,0,14,11,9,23,23,0,0,10,12,11,21,39,0,12,5,5,8350,5,22,0,0,18,4,7,10,7,0,4,20,0,9,19,9,3,48,8,11,23,0,4,11,0,21,9546,
"Port Phillip (C)",14,14,136,276,64,52,1404,15,1154,272,7,36,109,395,3,24,12,385,57,356,4,1886,13,17,130,197,340,48,31,10,328,17,177,15,785,341,83,10,108,303,18,381,177,1921,120,45,52,16,712,431,31,612,443,24,14,22,149,5,45871,6,7,39,22,2274,11,66,16,0,33,46,54,0,448,172,33,373,918,244,5,209,10,43,0,197,65893,
"Pyrenees (S)",0,38,235,9,0,3,0,3,5,23,0,4,22,31,81,3,16,11,0,35,3,6,5,60,12,8,48,3,27,0,25,5,14,0,5,15,0,4,16,4,0,9,3,4,30,12,5,0,8,9,25,8,33,10,7,4,0,16,9,4508,0,5,0,0,3,5,3,0,0,0,6,9,10,0,0,45,0,23,4,0,0,3,0,18,5644,
"Queenscliffe (B)",3,8,27,18,0,0,4,0,30,0,0,0,0,7,0,0,0,5,0,0,0,11,0,6,6,0,207,8,4,0,0,0,10,0,3,0,0,0,6,3,0,7,0,12,0,0,5,4,3,19,0,12,0,5,0,0,7,0,23,0,1848,3,0,24,0,9,0,0,0,0,9,0,20,0,0,17,27,3,0,4,0,0,0,5,2433,
"South Gippsland (S)",3,0,12,64,310,175,36,0,68,12,0,8,270,405,5,8,9,47,46,243,10,67,0,0,19,68,17,19,4,6,11,0,11,9,94,94,187,8,17,35,6,9,66,31,21,3,26,18,98,13,14,45,260,3,0,10,36,0,42,6,0,20077,3,15,9,18,4,6,3,4,119,7,44,25,8,28,42,151,3,14,0,18,0,65,23794,
"Southern Grampians (S)",6,30,65,0,12,4,13,4,9,5,3,6,13,30,7,14,21,11,7,12,6,18,173,13,25,14,73,3,3,5,15,38,11,0,17,9,16,0,6,4,8,3,9,11,8,11,10,0,22,3,8,16,23,3,94,3,0,12,7,13,5,6,11881,11,0,17,12,0,14,56,11,32,19,4,3,25,8,33,19,9,0,0,0,37,13206,
"Stonnington (C)",16,15,128,217,99,88,721,14,3054,134,7,28,113,466,12,35,8,273,72,192,8,1865,11,5,80,231,364,67,14,3,171,22,100,18,430,389,92,4,50,328,12,209,189,1545,78,49,27,17,1484,271,22,341,453,32,15,10,93,3,2192,3,9,50,32,51704,26,85,13,0,47,28,37,0,590,117,37,204,987,200,0,162,12,16,0,187,71537,
"Strathbogie (S)",0,0,7,17,7,6,12,58,23,15,0,39,19,45,7,0,0,19,7,20,16,6,4,0,32,5,22,155,0,5,8,0,38,5,25,28,0,4,33,16,12,4,33,17,10,4,195,14,21,28,0,31,32,6,0,20,17,0,14,4,0,8,4,9,6873,0,0,0,9,0,13,0,3,50,22,44,24,71,0,10,0,7,0,21,8374,
