Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by STATE (5YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"STATE (5YRS)","New South Wales","Victoria","Queensland","South Australia","Western Australia","Tasmania","Northern Territory","Australian Capital Territory","Other Territories","Overseas","Not stated","Not applicable","Total",
"West Wimmera (S)",51,3183,44,119,20,4,7,0,0,20,246,211,3905,
"Whitehorse (C)",1173,124355,826,518,450,241,95,214,0,17803,7584,8823,162080,
"Whittlesea (C)",1439,153050,1198,541,439,215,163,137,4,13267,10884,16152,197490,
"Wodonga (C)",2608,28522,1057,186,200,119,170,158,0,631,2876,2825,39347,
"Wyndham (C)",2985,153680,1926,893,835,444,280,380,5,20952,13364,21381,217118,
"Yarra (C)",2188,58112,1675,667,1052,353,136,539,4,9258,8666,4009,86652,
"Yarra Ranges (S)",725,127080,794,218,343,134,102,78,5,2638,8280,9141,149542,
"Yarriambiack (S)",45,5502,44,44,36,10,30,0,0,55,622,287,6675,
"Unincorporated Vic",23,448,21,19,8,6,0,0,0,79,246,36,876,
"No usual address (Vic.)",223,3296,238,61,95,40,35,14,0,945,2239,374,7572,
"Migratory - Offshore - Shipping (Vic.)",0,16,4,0,5,0,0,0,0,0,5,0,26,
"Total",61486,4575241,46579,19807,22365,9814,6638,8039,117,392140,413179,371219,5926624,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
