Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (1YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (1YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"Mitchell (S)",4,4,3,84,11,3,8,7,17,47,0,12,16,39,0,6,5,88,14,15,0,4,0,5,60,4,18,30,0,0,17,7,527,3,14,14,4,9,62,38,0,11,14,12,56,9,33136,27,9,31,7,84,26,3,7,49,41,0,5,0,0,4,3,6,63,3,0,0,3,5,8,0,42,494,11,56,8,50,0,8,0,4,0,24,35528,
"Moira (S)",12,0,8,15,3,3,3,33,4,0,0,56,23,36,6,3,9,5,5,15,5,10,0,9,32,8,20,193,0,0,9,0,27,5,12,27,6,4,11,0,11,7,15,14,5,7,17,24387,6,9,8,3,15,0,0,7,3,0,3,0,0,5,5,3,4,4,10,3,47,0,9,0,5,15,11,21,12,26,0,0,0,9,0,18,25345,
"Monash (C)",4,5,53,120,23,45,124,11,715,135,5,10,119,793,0,6,5,139,29,173,5,1155,5,4,47,862,102,43,7,3,71,8,57,3,628,723,57,0,18,189,3,80,120,687,47,34,17,9,147814,79,8,150,103,12,4,5,18,7,239,4,3,19,13,765,6,17,13,0,18,18,27,0,1136,96,16,219,132,112,0,67,0,7,0,69,158682,
"Moonee Valley (C)",5,0,57,96,13,3,24,4,140,676,0,9,9,40,4,3,0,267,13,14,0,91,5,5,48,26,94,22,11,0,131,5,641,3,39,28,13,0,93,55,0,661,18,980,246,12,21,16,93,95205,28,1297,36,14,0,4,23,0,219,0,0,6,9,153,3,25,10,0,14,12,14,0,71,133,10,194,225,22,0,40,0,16,0,45,102544,
"Moorabool (S)",0,5,175,11,7,3,0,0,14,84,0,7,5,10,0,0,0,15,0,6,4,6,3,29,18,4,65,8,29,0,43,0,42,0,6,18,4,6,39,4,4,36,0,23,364,4,5,0,9,19,27023,23,14,7,5,0,4,10,17,6,0,0,0,9,0,3,0,0,0,0,0,0,14,13,0,344,4,23,0,0,0,0,0,19,28693,
"Moreland (C)",3,4,56,268,14,15,50,3,404,284,3,14,25,100,0,12,6,1339,28,45,3,201,10,14,117,62,148,56,10,0,165,8,1138,3,63,82,21,3,66,104,4,404,55,1696,153,28,54,9,165,1229,14,128215,62,28,6,9,93,3,384,4,0,11,0,334,9,24,8,0,14,22,16,0,156,412,15,174,1188,66,0,77,6,15,0,102,140177,
"Mornington Peninsula (S)",8,5,22,82,53,50,320,3,293,38,0,11,148,524,7,7,6,118,53,1523,7,228,6,0,25,101,49,20,4,3,48,9,66,4,440,276,27,0,18,206,13,37,191,92,31,18,23,17,269,64,5,68,131334,11,4,24,77,6,186,9,0,43,4,195,8,8,0,0,12,5,21,0,254,88,21,56,113,237,0,27,14,24,0,56,138492,
"Mount Alexander (S)",0,0,16,16,0,8,0,5,10,3,0,0,4,4,19,6,3,64,4,8,0,9,0,0,125,7,26,4,21,0,19,0,7,0,9,16,3,0,67,4,0,28,10,15,9,7,5,0,3,18,3,60,3,15108,4,0,8,3,18,0,0,0,0,17,0,6,9,0,0,0,0,0,10,10,0,9,31,17,0,6,0,0,0,16,15943,
"Moyne (S)",0,11,28,5,0,3,3,0,4,5,0,0,12,0,0,16,95,6,0,0,0,0,19,4,9,3,36,7,3,0,0,14,0,3,0,0,4,3,0,0,0,3,3,6,10,6,10,3,5,9,0,0,0,9,13859,0,0,0,11,0,0,4,53,9,0,3,3,0,0,376,4,0,6,0,0,11,5,11,0,0,0,6,0,14,14717,
"Murrindindi (S)",0,0,0,33,5,5,9,5,15,0,0,3,17,7,0,4,0,21,7,16,0,4,0,0,0,0,11,3,0,0,0,0,3,4,3,18,0,0,5,14,11,0,37,3,15,0,25,9,4,6,0,12,11,0,0,11452,34,0,3,0,0,0,0,3,3,0,3,0,10,0,0,0,23,84,4,0,0,169,0,8,0,6,0,3,12170,
"Nillumbik (S)",6,0,6,938,3,0,16,5,136,13,0,3,7,16,0,0,3,185,0,10,0,23,0,0,10,4,12,0,5,0,14,0,52,0,14,27,0,0,5,268,0,26,85,52,14,0,15,0,25,18,4,91,14,5,0,20,53384,9,51,0,0,0,0,30,0,7,4,0,0,0,3,0,95,432,0,23,77,60,0,23,0,3,0,27,56383,
"Northern Grampians (S)",0,53,24,6,0,0,0,0,7,0,14,3,0,9,4,3,0,3,0,14,0,0,0,4,25,0,21,0,3,8,7,38,7,3,0,3,0,0,9,4,0,0,0,0,8,7,0,0,0,4,6,3,0,0,0,0,0,9821,6,6,0,0,5,0,0,0,5,0,0,7,0,4,5,0,0,17,6,3,14,0,0,0,0,11,10230,
"Port Phillip (C)",5,0,58,102,21,26,620,8,444,85,0,14,40,145,0,3,3,215,15,131,0,912,0,5,43,75,106,17,10,0,142,0,77,4,302,113,28,5,30,92,0,199,57,1338,41,14,13,3,300,205,12,331,152,10,0,3,28,3,71658,3,5,6,5,1349,5,18,7,0,3,10,18,0,183,84,7,165,489,90,0,60,9,23,0,65,80863,
"Pyrenees (S)",0,18,89,0,0,0,0,0,0,11,0,0,0,0,38,3,0,0,0,0,3,0,3,21,6,3,9,0,9,0,5,5,5,0,0,0,0,0,0,0,0,0,6,0,16,0,0,0,0,3,11,3,14,6,0,0,0,0,4,5716,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,12,0,6,0,0,0,0,0,7,6071,
"Queenscliffe (B)",0,0,5,5,0,0,7,0,11,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,67,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,5,0,9,0,0,0,0,4,0,9,0,2310,0,0,5,0,6,0,0,0,0,3,0,6,0,0,0,6,0,0,3,0,0,0,0,2501,
"South Gippsland (S)",0,0,12,21,136,72,14,0,19,3,0,3,125,163,0,0,0,16,8,76,0,21,0,0,5,24,5,3,0,0,0,7,6,0,30,24,83,0,3,8,4,5,24,0,0,7,3,6,26,0,5,10,97,0,0,7,8,0,17,0,0,24181,5,11,3,8,0,0,3,0,82,0,19,3,0,7,10,25,0,0,5,10,0,35,25521,
"Southern Grampians (S)",4,13,33,0,8,0,0,0,3,5,0,0,4,10,0,3,16,6,0,9,3,10,78,4,11,0,39,0,4,0,0,5,7,0,0,0,0,0,7,5,0,4,6,6,3,8,9,0,3,8,4,3,8,0,33,0,0,0,0,7,0,6,13897,3,0,0,0,0,8,26,0,5,3,7,0,10,0,4,3,0,0,4,0,14,14375,
"Stonnington (C)",3,4,63,118,29,29,257,4,1160,57,0,6,55,186,3,4,0,150,23,84,3,1005,0,4,28,94,117,18,4,0,79,4,37,10,201,144,29,0,16,98,10,144,79,1216,36,17,13,8,794,146,12,263,163,11,6,7,32,0,1202,0,8,16,12,76870,5,23,0,0,6,10,0,0,270,53,4,97,679,61,4,62,8,14,0,74,86547,
"Strathbogie (S)",9,0,3,5,5,6,0,25,6,6,0,9,5,15,4,0,0,8,3,4,3,3,3,5,9,5,12,62,0,0,0,0,8,5,5,6,0,0,4,5,9,0,3,4,0,0,70,5,10,18,8,8,11,0,0,10,7,0,7,4,0,6,6,5,8561,0,0,0,3,0,0,0,0,17,5,14,9,22,0,0,0,0,0,7,9062,
"Surf Coast (S)",0,4,35,24,13,3,42,0,56,11,3,7,6,19,3,37,17,25,5,15,4,20,5,23,31,0,630,7,14,0,42,10,22,3,28,21,4,0,22,9,8,31,6,35,26,6,13,3,8,64,8,42,8,3,6,0,25,0,53,3,5,4,10,32,5,24516,4,0,0,19,3,0,39,7,0,68,31,19,0,5,7,9,0,11,26359,
"Swan Hill (RC)",0,0,21,5,4,0,0,0,9,6,29,3,6,14,0,9,0,4,8,0,24,0,0,0,32,5,11,11,0,0,3,12,11,0,0,9,0,8,6,0,0,7,4,3,5,63,5,3,6,5,0,7,8,8,3,0,0,4,0,0,0,9,4,0,0,0,16759,0,3,7,4,0,3,0,0,32,0,5,5,4,0,4,0,9,17217,
"Towong (S)",3,0,10,0,0,0,0,0,0,0,0,3,4,11,5,0,0,0,3,0,0,0,0,0,3,0,0,5,0,0,6,0,0,27,0,4,3,0,0,3,0,0,3,5,0,0,0,0,0,0,0,4,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5037,4,0,0,0,3,6,47,0,0,5,0,6,0,0,0,5,5233,
"Wangaratta (RC)",66,0,19,10,0,11,4,84,13,3,3,14,3,11,0,0,0,14,3,0,9,8,0,0,13,6,30,20,0,6,6,0,16,57,5,12,4,3,9,10,17,10,8,19,0,4,6,36,9,9,0,14,8,0,4,0,14,0,4,0,0,0,0,6,18,3,8,4,24383,5,0,0,11,11,34,15,10,7,0,0,3,4,0,16,25159,
"Warrnambool (C)",3,4,43,24,10,0,5,0,15,4,0,0,4,21,0,24,92,12,3,8,0,7,65,9,27,9,95,7,0,0,11,21,7,4,13,11,14,0,4,0,0,15,13,13,26,11,4,3,13,8,4,18,25,0,380,0,5,6,11,0,3,3,46,8,5,7,4,0,0,28045,0,0,10,10,8,29,9,7,0,0,0,12,0,60,29405,
"Wellington (S)",5,0,9,21,14,55,9,6,15,17,0,6,36,71,8,8,4,11,133,36,3,21,0,4,16,18,14,4,0,0,14,5,7,4,13,29,258,4,0,0,0,11,19,18,8,13,6,3,20,10,0,16,44,0,5,3,0,0,10,0,0,28,0,13,0,0,0,11,0,0,35769,3,20,10,3,19,5,60,0,0,0,8,0,39,37026,
"West Wimmera (S)",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,3,0,0,0,0,10,0,18,0,0,0,0,3,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,8,0,0,0,3,0,0,3,0,3408,0,0,0,0,0,3,0,0,0,0,0,3,3515,
"Whitehorse (C)",12,9,38,182,32,26,63,4,1831,107,4,13,47,221,0,6,6,211,35,52,3,233,6,4,48,163,99,24,5,0,44,9,51,3,163,663,44,0,17,1049,6,117,671,542,50,21,14,13,1432,96,3,162,67,0,10,9,73,10,189,0,0,20,10,299,4,8,14,4,12,10,28,7,133559,152,23,142,219,275,4,78,0,10,0,41,143934,
"Whittlesea (C)",4,0,59,1491,30,10,19,6,147,263,6,19,33,119,8,8,3,2561,15,46,4,67,0,0,85,99,99,105,0,0,70,7,854,6,58,105,16,0,21,339,4,110,118,200,140,9,240,17,132,158,20,720,54,6,3,81,674,9,74,0,0,8,12,67,11,9,9,0,17,16,13,0,191,165662,19,202,107,83,4,97,0,18,0,90,176187,
"Wodonga (C)",62,5,15,10,5,4,8,18,9,14,3,13,3,24,0,3,0,16,10,8,5,0,5,0,40,13,31,27,9,0,12,0,20,249,14,19,4,0,3,13,13,10,18,18,9,19,18,32,24,10,4,21,10,0,5,0,4,7,6,0,0,5,6,9,0,5,0,100,59,11,7,0,13,19,32277,18,10,21,0,3,0,8,0,25,33507,
"Wyndham (C)",7,11,106,80,17,19,52,10,176,1270,3,4,39,141,4,24,7,184,12,47,0,317,5,16,52,215,494,80,22,28,1900,16,235,0,105,90,38,5,25,54,3,702,83,565,391,26,41,13,292,307,81,428,35,5,8,6,8,12,269,9,0,3,0,196,0,19,16,0,7,39,22,0,179,214,32,178161,127,22,5,99,4,21,0,108,188486,
"Yarra (C)",3,5,44,252,16,13,121,4,1099,86,0,5,24,70,0,13,0,773,17,42,0,219,7,4,40,45,115,21,13,0,82,6,60,10,83,106,24,0,33,159,5,176,123,1683,33,16,5,9,187,268,7,789,111,14,5,0,89,5,554,0,3,15,3,782,3,33,8,0,8,21,12,0,274,111,8,65,61418,94,0,62,8,20,0,54,70670,
"Yarra Ranges (S)",0,0,15,79,19,28,54,4,165,26,0,15,220,216,3,6,8,86,19,87,10,72,0,0,31,53,37,22,0,4,22,3,48,3,52,1299,15,0,5,302,17,23,2141,64,19,20,14,3,160,24,12,92,62,8,9,75,61,7,60,3,0,19,4,68,5,3,3,3,4,11,10,6,581,71,14,55,66,129210,0,63,0,28,0,70,136225,
"Yarriambiack (S)",0,5,17,0,9,0,0,0,0,6,6,5,0,0,0,0,0,5,0,3,0,0,8,0,4,0,8,0,3,17,3,54,0,0,0,3,5,3,0,0,0,0,5,3,11,8,0,0,0,3,0,0,4,0,0,0,0,10,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,5653,0,0,8,0,6,5910,
"Unincorporated Vic",8,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,4,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,495,0,0,8,555,
"No usual address (Vic.)",22,9,36,25,16,18,17,5,42,49,0,14,26,86,6,4,7,44,16,58,0,31,6,7,27,43,92,18,6,4,27,3,62,0,37,44,36,6,13,14,0,49,19,72,30,16,11,23,48,44,3,43,75,3,3,13,18,3,49,0,0,9,4,34,0,12,8,4,17,5,18,0,37,55,8,70,49,68,0,27,28,1844,0,51,3849,
"Migratory - Offshore - Shipping (Vic.)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,20,
"Total",10832,9760,89337,109636,28328,42192,85948,12191,149252,174425,5509,32838,81786,264441,11563,18763,14349,127257,39082,118761,9425,125399,17324,19524,96929,134924,203981,55592,13334,5179,79119,17859,173210,14012,134928,141209,64124,6591,40953,106168,7331,70753,99740,98147,116986,46055,34724,25305,162536,102889,28406,140729,136592,15843,14651,12059,56421,10363,81603,6136,2501,25297,14492,87306,8944,25901,17489,5250,25124,29253,37019,3543,145823,173526,33134,186287,70666,135674,5989,2162,667,2656,12,3331,5195413,

"Dataset: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
