Australian Bureau of Statistics

"2016 Census - Internal Migration"
"LGA (UR) by LGA (1YRS)"
"Counting: Persons Place of Usual Residence"

Filters:
"Default Summation","Persons Place of Usual Residence"

"LGA (1YRS)","Alpine (S)","Ararat (RC)","Ballarat (C)","Banyule (C)","Bass Coast (S)","Baw Baw (S)","Bayside (C)","Benalla (RC)","Boroondara (C)","Brimbank (C)","Buloke (S)","Campaspe (S)","Cardinia (S)","Casey (C)","Central Goldfields (S)","Colac-Otway (S)","Corangamite (S)","Darebin (C)","East Gippsland (S)","Frankston (C)","Gannawarra (S)","Glen Eira (C)","Glenelg (S)","Golden Plains (S)","Greater Bendigo (C)","Greater Dandenong (C)","Greater Geelong (C)","Greater Shepparton (C)","Hepburn (S)","Hindmarsh (S)","Hobsons Bay (C)","Horsham (RC)","Hume (C)","Indigo (S)","Kingston (C)","Knox (C)","Latrobe (C)","Loddon (S)","Macedon Ranges (S)","Manningham (C)","Mansfield (S)","Maribyrnong (C)","Maroondah (C)","Melbourne (C)","Melton (C)","Mildura (RC)","Mitchell (S)","Moira (S)","Monash (C)","Moonee Valley (C)","Moorabool (S)","Moreland (C)","Mornington Peninsula (S)","Mount Alexander (S)","Moyne (S)","Murrindindi (S)","Nillumbik (S)","Northern Grampians (S)","Port Phillip (C)","Pyrenees (S)","Queenscliffe (B)","South Gippsland (S)","Southern Grampians (S)","Stonnington (C)","Strathbogie (S)","Surf Coast (S)","Swan Hill (RC)","Towong (S)","Wangaratta (RC)","Warrnambool (C)","Wellington (S)","West Wimmera (S)","Whitehorse (C)","Whittlesea (C)","Wodonga (C)","Wyndham (C)","Yarra (C)","Yarra Ranges (S)","Yarriambiack (S)","Capital City Undefined (Greater Melbourne)","Unincorporated Vic","No Usual Address (Vic.)","Migratory - Offshore - Shipping (Vic.)","State Undefined (Vic.)","Total",
"Cardinia (S)",8,3,14,15,97,266,23,9,35,35,6,13,77116,3218,0,4,0,19,46,292,0,91,0,0,26,458,33,19,0,5,13,3,34,5,180,466,130,4,0,34,0,16,151,25,45,7,16,13,226,27,0,28,127,0,0,3,12,0,39,0,0,99,0,47,6,0,4,0,0,13,39,0,114,37,6,39,13,383,0,72,0,14,0,50,84415,
"Casey (C)",10,7,20,74,111,114,110,12,174,96,0,17,1463,251900,11,13,0,82,45,1794,11,445,9,0,46,4204,68,105,4,0,52,18,56,6,785,1116,116,3,14,145,8,39,302,130,74,19,3,17,1549,52,6,70,485,6,0,18,16,0,111,3,0,75,9,182,7,0,31,3,19,7,40,0,423,159,10,161,44,308,0,154,0,20,0,101,267918,
"Central Goldfields (S)",0,3,55,3,0,3,0,0,0,13,6,8,7,15,11079,6,5,3,4,11,0,5,3,5,70,15,19,0,17,0,4,3,11,0,12,3,0,27,8,3,0,3,4,4,12,4,0,9,4,0,0,8,11,22,4,4,0,14,0,49,0,5,0,0,0,5,0,0,0,0,0,0,0,10,5,21,3,9,3,4,0,9,0,29,11677,
"Colac-Otway (S)",0,0,22,3,4,0,6,4,15,12,0,14,0,5,0,18039,64,3,0,3,0,12,10,12,11,6,117,11,0,6,13,3,6,0,0,4,0,0,8,3,0,5,0,5,9,9,0,7,0,16,6,17,5,0,4,8,10,6,9,0,0,0,11,0,0,67,4,0,6,14,0,0,3,3,3,33,4,6,4,0,0,7,0,20,18736,
"Corangamite (S)",0,0,28,0,0,0,0,0,6,14,0,0,8,13,0,63,13723,5,0,7,0,0,4,12,0,6,31,3,0,0,3,3,5,0,0,3,3,0,0,0,4,0,0,3,12,4,0,0,0,5,7,0,0,0,87,0,3,5,4,0,0,4,12,3,0,8,0,4,0,50,7,0,0,10,0,9,3,0,0,0,0,3,0,18,14229,
"Darebin (C)",3,9,65,1065,11,19,31,8,558,133,5,28,29,63,4,4,20,115948,8,44,3,143,13,4,72,38,113,58,7,3,60,10,228,13,66,52,26,0,27,220,3,183,71,653,58,25,26,14,116,236,9,1550,50,17,19,15,179,3,256,0,4,41,8,251,5,17,4,3,13,25,17,8,231,1109,32,111,1475,86,5,90,0,27,0,75,126347,
"East Gippsland (S)",11,7,14,10,8,25,11,9,21,9,0,8,46,72,0,11,0,18,37943,56,3,20,0,3,24,12,16,11,4,0,14,0,10,0,50,50,77,0,11,11,9,12,30,15,12,0,5,7,20,8,13,21,73,3,3,5,12,6,13,0,0,11,0,11,0,4,0,0,25,6,122,0,21,20,4,28,11,46,0,4,3,14,0,31,39259,
"Frankston (C)",7,0,21,50,46,56,182,7,67,27,0,5,169,1012,5,0,0,42,18,111607,7,262,10,6,31,381,49,7,6,0,55,10,34,7,1421,287,57,8,18,61,4,42,107,66,31,14,11,8,295,20,6,49,1463,15,7,12,25,5,132,5,0,20,0,85,3,3,8,0,10,8,47,0,165,42,7,58,54,113,0,59,4,21,0,87,119123,
"Gannawarra (S)",0,0,9,5,0,12,0,0,0,0,5,15,0,0,0,3,0,3,0,12,9089,0,0,3,30,3,7,4,3,0,0,0,0,0,3,0,0,13,0,0,0,0,0,3,9,3,0,0,6,4,3,0,8,0,0,8,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,9,13,0,0,0,7,0,0,0,0,0,18,9365,
"Glen Eira (C)",4,4,26,67,18,28,982,6,392,74,0,6,63,264,0,5,3,107,17,152,0,114898,0,3,27,232,52,15,6,0,103,10,20,6,735,149,27,0,6,61,0,125,50,581,30,19,7,3,1164,87,6,137,76,4,0,10,9,0,1371,0,4,15,6,1288,0,8,8,0,7,4,9,0,225,58,16,127,170,49,0,51,0,14,0,65,124367,
